epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.29099801182746887,0.8841743119266054,-2,SST-2_1
2.0,0.273654967546463,0.893348623853211,-2,SST-2_1
1.0,0.3457115888595581,0.8818807339449541,-1,SST-2_1
2.0,0.30084946751594543,0.8876146788990825,-1,SST-2_1
1.0,0.3032771944999695,0.8887614678899083,0,SST-2_1
2.0,0.28900107741355896,0.8967889908256881,0,SST-2_1
1.0,0.32905134558677673,0.8818807339449541,1,SST-2_1
2.0,0.3129684329032898,0.8853211009174312,1,SST-2_1
1.0,0.33028310537338257,0.8727064220183486,2,SST-2_1
2.0,0.3046276867389679,0.8853211009174312,2,SST-2_1
1.0,0.2949807047843933,0.8727064220183486,3,SST-2_1
2.0,0.29561647772789,0.8807339449541285,3,SST-2_1
1.0,0.3305659592151642,0.8807339449541285,4,SST-2_1
2.0,0.3119741380214691,0.8738532110091743,4,SST-2_1
1.0,0.32568997144699097,0.8807339449541285,5,SST-2_1
2.0,0.31802883744239807,0.8830275229357798,5,SST-2_1
1.0,0.3459065556526184,0.8704128440366973,6,SST-2_1
2.0,0.29962357878685,0.8784403669724771,6,SST-2_1
1.0,0.32582560181617737,0.8772935779816514,7,SST-2_1
2.0,0.3181421160697937,0.8795871559633027,7,SST-2_1
1.0,0.32054948806762695,0.8772935779816514,8,SST-2_1
2.0,0.31899863481521606,0.8818807339449541,8,SST-2_1
1.0,0.3340799808502197,0.875,9,SST-2_1
2.0,0.32384470105171204,0.8876146788990825,9,SST-2_1
1.0,0.31460312008857727,0.8761467889908257,10,SST-2_1
2.0,0.3017122745513916,0.8841743119266054,10,SST-2_1
1.0,0.3295072019100189,0.8658256880733946,11,SST-2_1
2.0,0.29036155343055725,0.8899082568807339,11,SST-2_1
