epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.1815437078475952,0.564,-2,trec_4
2.0,0.8907611966133118,0.664,-2,trec_4
3.0,0.8402920961380005,0.686,-2,trec_4
1.0,1.0923014879226685,0.558,-1,trec_4
2.0,1.042337417602539,0.628,-1,trec_4
3.0,0.8773159384727478,0.672,-1,trec_4
1.0,1.0048671960830688,0.578,0,trec_4
2.0,0.8705570101737976,0.686,0,trec_4
3.0,0.7870333790779114,0.7,0,trec_4
1.0,1.0282213687896729,0.566,1,trec_4
2.0,0.8233088254928589,0.684,1,trec_4
3.0,0.8047525882720947,0.692,1,trec_4
1.0,1.0083755254745483,0.588,2,trec_4
2.0,0.9331057071685791,0.67,2,trec_4
3.0,0.8129695057868958,0.69,2,trec_4
1.0,1.0292351245880127,0.568,3,trec_4
2.0,0.9028000235557556,0.676,3,trec_4
3.0,0.7397587895393372,0.714,3,trec_4
1.0,0.9892216920852661,0.57,4,trec_4
2.0,0.8718324899673462,0.676,4,trec_4
3.0,0.8320459127426147,0.688,4,trec_4
1.0,1.0289734601974487,0.564,5,trec_4
2.0,0.8288804888725281,0.684,5,trec_4
3.0,0.8525606393814087,0.678,5,trec_4
1.0,0.9830310344696045,0.588,6,trec_4
2.0,0.9002888202667236,0.668,6,trec_4
3.0,0.8471192717552185,0.676,6,trec_4
1.0,1.0119811296463013,0.56,7,trec_4
2.0,0.8981462717056274,0.67,7,trec_4
3.0,0.825191855430603,0.68,7,trec_4
1.0,1.0620636940002441,0.552,8,trec_4
2.0,0.9143547415733337,0.648,8,trec_4
3.0,0.8668348789215088,0.68,8,trec_4
1.0,1.0371774435043335,0.548,9,trec_4
2.0,0.8721306324005127,0.688,9,trec_4
3.0,0.8372658491134644,0.684,9,trec_4
1.0,1.0476020574569702,0.56,10,trec_4
2.0,0.8832701444625854,0.672,10,trec_4
3.0,0.7877464890480042,0.69,10,trec_4
1.0,0.9889468550682068,0.584,11,trec_4
2.0,0.905640184879303,0.672,11,trec_4
3.0,0.773129403591156,0.708,11,trec_4
