epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.16027462482452393,0.9455,-2,subj_2
1.0,0.16702532768249512,0.9355,-1,subj_2
1.0,0.15630264580249786,0.9405,0,subj_2
1.0,0.15481700003147125,0.9415,1,subj_2
1.0,0.15491189062595367,0.941,2,subj_2
1.0,0.18042083084583282,0.9345,3,subj_2
1.0,0.15493319928646088,0.9415,4,subj_2
1.0,0.15770547091960907,0.939,5,subj_2
1.0,0.15495507419109344,0.9395,6,subj_2
1.0,0.15791180729866028,0.939,7,subj_2
1.0,0.1565397083759308,0.9395,8,subj_2
1.0,0.15623611211776733,0.94,9,subj_2
1.0,0.156551793217659,0.941,10,subj_2
1.0,0.15666817128658295,0.9405,11,subj_2
