epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.4041662216186523,0.362,-2,trec_2
1.0,1.4077273607254028,0.42,-1,trec_2
1.0,1.4144221544265747,0.41,0,trec_2
1.0,1.414401650428772,0.41,1,trec_2
1.0,1.4143935441970825,0.41,2,trec_2
1.0,1.4143898487091064,0.41,3,trec_2
1.0,1.4143954515457153,0.41,4,trec_2
1.0,1.4144023656845093,0.41,5,trec_2
1.0,1.4144046306610107,0.41,6,trec_2
1.0,1.4144057035446167,0.41,7,trec_2
1.0,1.4144070148468018,0.41,8,trec_2
1.0,1.4144476652145386,0.41,9,trec_2
1.0,1.414449691772461,0.41,10,trec_2
1.0,1.4144340753555298,0.41,11,trec_2
