epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.0,0.7511467889908257,-2,SST-2_3
1.0,0.0,0.7649082568807339,0,SST-2_3
1.0,0.0,0.7626146788990825,1,SST-2_3
1.0,0.0,0.7603211009174312,2,SST-2_3
1.0,0.0,0.7580275229357798,3,SST-2_3
1.0,0.0,0.7672018348623854,4,SST-2_3
1.0,0.0,0.7626146788990825,5,SST-2_3
1.0,0.0,0.7637614678899083,6,SST-2_3
1.0,0.0,0.7649082568807339,7,SST-2_3
1.0,0.0,0.7729357798165137,8,SST-2_3
1.0,0.0,0.7706422018348624,9,SST-2_3
1.0,0.0,0.7798165137614679,10,SST-2_3
1.0,0.0,0.783256880733945,11,SST-2_3
