epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.0,0.819954128440367,-2,SST-2_0
2.0,0.0,0.8669724770642202,-2,SST-2_0
3.0,0.0,0.8681192660550459,-2,SST-2_0
4.0,0.0,0.8784403669724771,-2,SST-2_0
5.0,0.0,0.8795871559633027,-2,SST-2_0
1.0,0.0,0.8279816513761468,-1,SST-2_0
2.0,0.0,0.8669724770642202,-1,SST-2_0
3.0,0.0,0.8692660550458715,-1,SST-2_0
4.0,0.0,0.8830275229357798,-1,SST-2_0
5.0,0.0,0.8818807339449541,-1,SST-2_0
1.0,0.0,0.8291284403669725,0,SST-2_0
2.0,0.0,0.8761467889908257,0,SST-2_0
3.0,0.0,0.8738532110091743,0,SST-2_0
4.0,0.0,0.8795871559633027,0,SST-2_0
5.0,0.0,0.8784403669724771,0,SST-2_0
1.0,0.0,0.8279816513761468,1,SST-2_0
2.0,0.0,0.8646788990825688,1,SST-2_0
3.0,0.0,0.8704128440366973,1,SST-2_0
4.0,0.0,0.8761467889908257,1,SST-2_0
5.0,0.0,0.8772935779816514,1,SST-2_0
1.0,0.0,0.8371559633027523,2,SST-2_0
2.0,0.0,0.8600917431192661,2,SST-2_0
3.0,0.0,0.875,2,SST-2_0
4.0,0.0,0.8658256880733946,2,SST-2_0
5.0,0.0,0.8704128440366973,2,SST-2_0
1.0,0.0,0.8325688073394495,3,SST-2_0
2.0,0.0,0.8555045871559633,3,SST-2_0
3.0,0.0,0.8738532110091743,3,SST-2_0
4.0,0.0,0.8658256880733946,3,SST-2_0
5.0,0.0,0.8589449541284404,3,SST-2_0
1.0,0.0,0.8188073394495413,4,SST-2_0
2.0,0.0,0.8555045871559633,4,SST-2_0
3.0,0.0,0.8704128440366973,4,SST-2_0
4.0,0.0,0.8681192660550459,4,SST-2_0
5.0,0.0,0.8692660550458715,4,SST-2_0
1.0,0.0,0.8119266055045872,5,SST-2_0
2.0,0.0,0.8543577981651376,5,SST-2_0
3.0,0.0,0.8692660550458715,5,SST-2_0
4.0,0.0,0.8669724770642202,5,SST-2_0
5.0,0.0,0.8715596330275229,5,SST-2_0
