epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.0,0.4832579185520362,-2,sst-5_1
2.0,0.0,0.5104072398190045,-2,sst-5_1
1.0,0.0,0.4832579185520362,-1,sst-5_1
2.0,0.0,0.5095022624434389,-1,sst-5_1
1.0,0.0,0.4479638009049774,0,sst-5_1
2.0,0.0,0.03800904977375565,0,sst-5_1
1.0,0.0,0.4099547511312217,1,sst-5_1
2.0,0.0,0.12307692307692308,1,sst-5_1
1.0,0.0,0.37058823529411766,2,sst-5_1
2.0,0.0,0.14434389140271492,2,sst-5_1
1.0,0.0,0.36923076923076925,3,sst-5_1
2.0,0.0,0.34615384615384615,3,sst-5_1
1.0,0.0,0.3502262443438914,4,sst-5_1
2.0,0.0,0.3891402714932127,4,sst-5_1
1.0,0.0,0.32805429864253394,5,sst-5_1
2.0,0.0,0.434841628959276,5,sst-5_1
1.0,0.0,0.34660633484162895,6,sst-5_1
2.0,0.0,0.4764705882352941,6,sst-5_1
1.0,0.0,0.35339366515837106,7,sst-5_1
2.0,0.0,0.49095022624434387,7,sst-5_1
1.0,0.0,0.2904977375565611,8,sst-5_1
2.0,0.0,0.4660633484162896,8,sst-5_1
1.0,0.0,0.2895927601809955,9,sst-5_1
2.0,0.0,0.4330316742081448,9,sst-5_1
1.0,0.0,0.19502262443438914,10,sst-5_1
2.0,0.0,0.36425339366515835,10,sst-5_1
1.0,0.0,0.17104072398190046,11,sst-5_1
2.0,0.0,0.20180995475113123,11,sst-5_1
