epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.0,0.328,-2,trec_0
2.0,0.0,0.544,-2,trec_0
3.0,0.0,0.496,-2,trec_0
4.0,0.0,0.556,-2,trec_0
5.0,0.0,0.552,-2,trec_0
1.0,0.0,0.33,-1,trec_0
2.0,0.0,0.538,-1,trec_0
3.0,0.0,0.498,-1,trec_0
4.0,0.0,0.55,-1,trec_0
5.0,0.0,0.524,-1,trec_0
1.0,0.0,0.342,0,trec_0
2.0,0.0,0.464,0,trec_0
3.0,0.0,0.448,0,trec_0
4.0,0.0,0.476,0,trec_0
5.0,0.0,0.468,0,trec_0
1.0,0.0,0.336,1,trec_0
2.0,0.0,0.452,1,trec_0
3.0,0.0,0.428,1,trec_0
4.0,0.0,0.482,1,trec_0
5.0,0.0,0.458,1,trec_0
1.0,0.0,0.336,2,trec_0
2.0,0.0,0.464,2,trec_0
3.0,0.0,0.436,2,trec_0
4.0,0.0,0.472,2,trec_0
5.0,0.0,0.462,2,trec_0
1.0,0.0,0.334,3,trec_0
2.0,0.0,0.458,3,trec_0
3.0,0.0,0.434,3,trec_0
4.0,0.0,0.47,3,trec_0
5.0,0.0,0.458,3,trec_0
1.0,0.0,0.336,4,trec_0
2.0,0.0,0.448,4,trec_0
3.0,0.0,0.434,4,trec_0
4.0,0.0,0.472,4,trec_0
5.0,0.0,0.462,4,trec_0
1.0,0.0,0.336,5,trec_0
2.0,0.0,0.452,5,trec_0
3.0,0.0,0.432,5,trec_0
4.0,0.0,0.498,5,trec_0
5.0,0.0,0.466,5,trec_0
1.0,0.0,0.336,6,trec_0
2.0,0.0,0.45,6,trec_0
3.0,0.0,0.432,6,trec_0
4.0,0.0,0.494,6,trec_0
5.0,0.0,0.464,6,trec_0
1.0,0.0,0.324,7,trec_0
2.0,0.0,0.452,7,trec_0
3.0,0.0,0.44,7,trec_0
4.0,0.0,0.508,7,trec_0
5.0,0.0,0.492,7,trec_0
1.0,0.0,0.334,8,trec_0
2.0,0.0,0.454,8,trec_0
3.0,0.0,0.43,8,trec_0
4.0,0.0,0.492,8,trec_0
5.0,0.0,0.49,8,trec_0
1.0,0.0,0.312,9,trec_0
2.0,0.0,0.466,9,trec_0
3.0,0.0,0.44,9,trec_0
4.0,0.0,0.508,9,trec_0
5.0,0.0,0.506,9,trec_0
1.0,0.0,0.312,10,trec_0
2.0,0.0,0.444,10,trec_0
3.0,0.0,0.434,10,trec_0
4.0,0.0,0.484,10,trec_0
5.0,0.0,0.476,10,trec_0
1.0,0.0,0.242,11,trec_0
2.0,0.0,0.42,11,trec_0
3.0,0.0,0.516,11,trec_0
4.0,0.0,0.546,11,trec_0
5.0,0.0,0.538,11,trec_0
