epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.20197303593158722,0.9135,-2,subj_3
1.0,0.2033025175333023,0.9145,-1,subj_3
1.0,0.20342272520065308,0.912,0,subj_3
1.0,0.20107588171958923,0.913,1,subj_3
1.0,0.2006121575832367,0.913,2,subj_3
1.0,0.2144223004579544,0.9125,3,subj_3
1.0,0.20359942317008972,0.9135,4,subj_3
1.0,0.20446188747882843,0.912,5,subj_3
1.0,0.19838766753673553,0.916,6,subj_3
1.0,0.2011835277080536,0.914,7,subj_3
1.0,0.1969926506280899,0.9155,8,subj_3
1.0,0.20358043909072876,0.9135,9,subj_3
1.0,0.20141296088695526,0.915,10,subj_3
1.0,0.20058606564998627,0.9115,11,subj_3
