epoch,eval_loss,eval_accuracy,layer,prompt
1.0,1.5391967296600342,0.622,-2,trec_0
1.0,1.616766333580017,0.278,-1,trec_0
1.0,1.595123291015625,0.448,0,trec_0
1.0,1.6139556169509888,0.346,1,trec_0
1.0,1.6157604455947876,0.316,2,trec_0
1.0,1.5965783596038818,0.434,3,trec_0
1.0,1.5947915315628052,0.496,4,trec_0
1.0,1.610958456993103,0.36,5,trec_0
1.0,1.6017427444458008,0.388,6,trec_0
1.0,1.6077879667282104,0.356,7,trec_0
1.0,1.609420657157898,0.38,8,trec_0
1.0,1.604168176651001,0.308,9,trec_0
1.0,1.6193708181381226,0.304,10,trec_0
1.0,1.6074389219284058,0.394,11,trec_0
